,id_unico_cliente,Recencia,RecenciaCluster,Frequencia,FrequenciaCluster,Receita,ReceitaCluster,Pontuacao,Segmento
0,861eff4711a542e4b93843c6dd7febb0,474,3,1,0,146.87,0,3,Master
1,9eae34bbd3a474ec5d07949ca7de67c0,298,2,2,0,551.58,0,2,Business
2,9eae34bbd3a474ec5d07949ca7de67c0,298,2,2,0,551.58,0,2,Business
3,3c799d181c34d51f6d44bbbc563024db,483,3,1,0,140.61,0,3,Master
4,23397e992b09769faf5e66f9e171a241,211,1,1,0,137.58,0,1,Business
5,567ab47ca4deb92d46dbf54dce07d0a7,528,3,1,0,142.05,0,3,Master
6,f40ab89b622248b7ca125af4b486b887,474,3,1,0,155.7,0,3,Master
7,749943913a9851a39c9baf51877fbab6,533,3,1,0,148.33,0,3,Master
8,432ecfa8b7b7ad2663c7abed0dc83c51,172,1,1,0,150.07,0,1,Business
9,31318a0597cd9d50ce4cfd03c80fe780,219,1,2,0,515.0,0,1,Business
10,31318a0597cd9d50ce4cfd03c80fe780,219,1,2,0,515.0,0,1,Business
11,83aca63b2193ea126b287f3ae61528d9,481,3,6,1,5061.96,1,5,Premium
12,83aca63b2193ea126b287f3ae61528d9,481,3,6,1,5061.96,1,5,Premium
13,83aca63b2193ea126b287f3ae61528d9,481,3,6,1,5061.96,1,5,Premium
14,83aca63b2193ea126b287f3ae61528d9,481,3,6,1,5061.96,1,5,Premium
15,83aca63b2193ea126b287f3ae61528d9,481,3,6,1,5061.96,1,5,Premium
16,83aca63b2193ea126b287f3ae61528d9,481,3,6,1,5061.96,1,5,Premium
17,acd02fc85cf6339f896c161af2b6abcd,215,1,1,0,145.58,0,1,Business
18,67d6f91d256bdf128fc960a166f413d5,324,2,1,0,151.17,0,2,Business
19,9e8993ba2665307b71bd1641c2e1cb3d,570,3,2,0,540.0,0,3,Master
20,9e8993ba2665307b71bd1641c2e1cb3d,570,3,2,0,540.0,0,3,Master
21,1c91f8d50340522dd6601237ad13afff,207,1,1,0,160.18,0,1,Business
22,b428f59c73c1bbeb3584744b4570654b,436,3,1,0,148.45,0,3,Master
23,c71792e0cbb396e0a77258f474d971ab,322,2,1,0,141.14,0,2,Business
24,7dd466ce70871be5aba0ea1a43df6021,159,1,2,0,154.96,0,1,Business
25,7dd466ce70871be5aba0ea1a43df6021,159,1,2,0,154.96,0,1,Business
26,35c0fa6f2e6bbb3576e725d22e1066b8,492,3,1,0,140.03,0,3,Master
27,14803be716853016918954f7ef189abd,528,3,1,0,143.58,0,3,Master
28,5fff3ec8fc85df5fe57190fd9b6543ed,153,1,5,1,4351.75,1,3,Master
29,5fff3ec8fc85df5fe57190fd9b6543ed,153,1,5,1,4351.75,1,3,Master
30,5fff3ec8fc85df5fe57190fd9b6543ed,153,1,5,1,4351.75,1,3,Master
31,5fff3ec8fc85df5fe57190fd9b6543ed,153,1,5,1,4351.75,1,3,Master
32,5fff3ec8fc85df5fe57190fd9b6543ed,153,1,5,1,4351.75,1,3,Master
33,7fcf7dc77013a88b9eef97c288b3eb8d,457,3,1,0,143.58,0,3,Master
34,aaad33c5051196b5e73c7d65b9072e1d,173,1,2,0,174.07,0,1,Business
35,aaad33c5051196b5e73c7d65b9072e1d,173,1,2,0,174.07,0,1,Business
36,52d8a619dff23c2985434b25e9862ff8,496,3,1,0,136.47,0,3,Master
37,fa516425f2667bd8a5a409f9112e663d,434,3,1,0,164.79,0,3,Master
38,75fd60b26fd8ec7f00dff3a5dede2c77,163,1,2,0,902.26,0,1,Business
39,661ada8f1f0f348790c6b9ce57d51f55,152,1,1,0,140.53,0,1,Business
40,46587168f28103639ae8249f19b53043,469,3,1,0,143.58,0,3,Master
41,452fab1c62b178922fc011b0eb89c1b9,234,1,2,0,681.0,0,1,Business
42,452fab1c62b178922fc011b0eb89c1b9,234,1,2,0,681.0,0,1,Business
43,613259d64ba972e49dc25b019b7918c3,269,2,1,0,131.5,0,2,Business
44,c666e59a2d3ced923880461526113d38,191,1,1,0,135.52,0,1,Business
45,b52b8debdefe66d4c0d7f44d9b4ff088,26,0,3,1,817.26,0,1,Business
46,b52b8debdefe66d4c0d7f44d9b4ff088,26,0,3,1,817.26,0,1,Business
